time	pressure	rate
0.2	351.569	2776.99
0.201	348.874	2776.99
0.202	346.598	2776.99
0.203	344.600	2776.99
0.204	342.873	2776.99
0.205	341.360	2776.99
0.206	340.042	2776.99
0.207	338.789	2776.99
0.208	337.709	2776.99
0.209	336.821	2776.99
0.210098	335.843	2776.99
0.21133	334.864	2776.99
0.212713	333.930	2776.99
0.214264	332.994	2776.99
0.216005	332.120	2776.99
0.217957	331.281	2776.99
0.220148	330.420	2776.99
0.222607	329.666	2776.99
0.225365	328.881	2776.99
0.22846	328.198	2776.99
0.231933	327.506	2776.99
0.23583	326.954	2776.99
0.240202	326.363	2776.99
0.245107	325.775	2776.99
0.250611	325.286	2776.99
0.256786	324.840	2776.99
0.263715	324.343	2776.99
0.27149	323.920	2776.99
0.280213	323.492	2776.99
0.29	323.084	2776.99
0.3	322.787	2776.99
0.31	322.476	2776.99
0.32	322.129	2776.99
0.33	321.924	2776.99
0.34	321.678	2776.99
0.35	321.481	2776.99
0.36	321.287	2776.99
0.37	321.059	2776.99
0.38	320.930	2776.99
0.39	320.719	2776.99
0.4	320.544	2776.99
0.41	320.441	2776.99
0.42	320.315	2776.99
0.43	320.189	2776.99
0.44	320.047	2776.99
0.45	319.905	2776.99
0.46	319.786	2776.99
0.47	319.694	2776.99
0.48	319.558	2776.99
0.49	319.443	2776.99
0.5	319.394	2776.99
0.51	319.285	2776.99
0.52	319.220	2776.99
0.53	319.083	2776.99
0.54	319.002	2776.99
0.55	318.891	2776.99
0.56	318.883	2776.99
0.57	318.778	2776.99
0.58	318.692	2776.99
0.59	318.591	2776.99
0.6	318.556	2776.99
0.61	318.511	2776.99
0.62	318.441	2776.99
0.63	318.325	2776.99
0.64	318.306	2776.99
0.65	318.238	2776.99
0.66	318.136	2776.99
0.67	318.053	2776.99
0.68	318.039	2776.99
0.69	317.967	2776.99
0.7	317.902	2776.99
0.71	317.875	2776.99
0.72	317.775	2776.99
0.73	317.766	2776.99
0.74	317.694	2776.99
0.75	317.600	2776.99
